"Feature";"max_gan"
"mautoservicio";0,0204983576632125
"mcaja_ahorro";0,110910061898235
"mcaja_ahorro_adicional";0,000190840413183599
"mcaja_ahorro_dolares";0,00216719888555218
"mcajeros_propios_descuentos";0,000161302908607896
"mcheques_depositados";0,000546085562625173
"mcheques_depositados_rechazados";0,0000903328488401646
"mcheques_emitidos";0,000331212421624016
"mcheques_emitidos_rechazados";0,000676877840325653
"mcomisiones";0,00218332488599314
"mcomisiones_mantenimiento";0,0020683799391329
"mcomisiones_otras";0,00236935087742252
"mcuenta_corriente";0,0307913240493246
"mcuenta_corriente_adicional";0,000000552376712877665
"mcuenta_debitos_automaticos";0,00315943385050451
"mcuentas_saldo";0,0464531632903446
"mdescubierto_preacordado";0,0263162790747696
"mextraccion_autoservicio";0,0025570196385066
"mforex_buy";0,000358823779010625
"mforex_sell";0,000576837096840664
"minversion1_dolares";0,0000103351222631077
"minversion1_pesos";0,0000953778161604958
"minversion2";0,000507415635075742
"mpagodeservicios";0,00037982293421543
"mpagomiscuentas";0,00329096359031216
"mpasivos_margen";0,00742060322433413
"mpayroll";0,0179150913901549
"mpayroll2";0,00000983723011281614
"mplazo_fijo_dolares";0,000950007002690101
"mplazo_fijo_pesos";0,00000856589804503549
"mprestamos_hipotecarios";0,0000732005993707708
"mprestamos_personales";0,0103238282079461
"mprestamos_prendarios";0,000643413767922258
"mrentabilidad";0,00616788836829385
"mrentabilidad_annual";0,00385340794172397
"mrentabilidad_anual";0,0042375501993888
"mtarjeta_master_consumo";0,00192415444788802
"mtarjeta_master_descuentos";0,000123054071373445
"mtarjeta_visa_consumo";0,0421491743564578
"mtarjeta_visa_descuentos";0,000354906350953564
"mtransferencias_emitidas";0,00118622880352258
"mtransferencias_recibidas";0,00206979425232178
"mttarjeta_master_debitos_automaticos";0,000503665102998827
"mttarjeta_visa_debitos_automaticos";0,00256492342065266
"mv_Finiciomora";0,0287299324798144
"mv_Fvencimiento";0,00222494512813613
"mv_cadelantosefectivo";0,0000837604666695399
"mv_cconsumos";0,00121494900650294
"mv_delinquency";0,0100838537081789
"mv_fechaalta";0,00243318767951985
"mv_fultimo_cierre";0,0109666724213684
"mv_madelantodolares";0,00000107357193941395
"mv_madelantopesos";0,0000401623563405183
"mv_mconsumosdolares";0,000605866101094684
"mv_mconsumospesos";0,000852264665781704
"mv_mconsumototal";0,000852483939446792
"mv_mfinanciacion_limite";0,00272484917356444
"mv_mlimitecompra";0,00118792598620535
"mv_mpagado";0,000673449450702664
"mv_mpagominimo";0,00857335977017496
"mv_mpagosdolares";0,0002793346447688
"mv_mpagospesos";0,00950588827833721
"mv_msaldodolares";0,000295666296690375
"mv_msaldopesos";0,00376779991944658
"mv_msaldototal";0,00273063378318883
"mv_status01";0,0156627814854301
"mv_status02";0,000637288233186868
"mv_status03";0,000483543111796063
"mv_status04";0,015881029695944
"mv_status05";0,016234933472107
"mv_status06";0,021852734703891
"mv_status07";0,012572427143561
"mvr_Master_mlimitecompra";0,00167028442747815
"mvr_Visa_mlimitecompra";0,00139041309310479
"mvr_madelantodolares";0,00000418225739467711
"mvr_madelantopesos";0,000073757177276604
"mvr_mconsumosdolares";0,000917157081757236
"mvr_mconsumospesos";0,00113555038180686
"mvr_mconsumototal";0,000930360216990428
"mvr_mpagado";0,00109152990541566
"mvr_mpagominimo";0,00408505201643382
"mvr_mpagosdolares";0,000378744036404253
"mvr_mpagospesos";0,00475915532076453
"mvr_msaldodolares";0,000481307059232997
"mvr_msaldodolares2";0,00086366195420311
"mvr_msaldopesos";0,00184735574774492
"mvr_msaldopesos2";0,0017573494974148
"mvr_msaldototal";0,00279091482917928
"nu_prestamos_totales";0,00234980852336216
"pc_comisiones_limite";0,00228833785500206
"pc_comisiones_productos";0,00209999780649224
"pc_egreso_principal";0,0578020577684947
"pc_limite_saldo";0,0077691332553548
"rt_invierte_adeuda";0,00186427323245115
"tcallcenter";0,000930419185113824
"tcuentas";0,000193011976557212
"thomebanking";0,000551718590400368
"tpaquete3";0,000490069551130286
"tpaquete4";0,000471342200815733
"vl_adeuda";0,00885743988926749
"vl_egreso_principal";0,0639081970101213
"vl_egresos";0,104031621556053
"vl_invierte";0,0026904198223795
"vl_prestamos_totales";0,00643464968910448
