mes_aplicacion	semilla_undersampling	semilla_public	ganancia_public_inalcanzable	probabilidad_corte	ganancia_public	ganancia_private	ganancia_completa	
202003	102191	246317	5193750	0.51	5193750	3797812	4077000	
202003	102191	425791	4282500	0.52	4185000	3999375	4036500	
202003	102191	115763	4627500	0.49	4492500	3862500	3988500	
202003	102191	584473	4297500	0.42	4222500	3692812	3798750	
202003	102191	691051	4338750	0.6	4260000	3804375	3895500	
202003	102191	442577	3791250	0.48	3667500	4100625	4014000	
202003	102191	223303	4286250	0.52	4140000	4010625	4036500	
202003	102191	425329	3345000	0.42	3345000	3912188	3798750	
202003	102191	148817	4608750	0.46	4605000	3752812	3923250	
202002	102191	593297	9108750	0.52	9108750	7739062	8013000	
202002	102191	841741	8962500	0.45	8962500	8013750	8203500	
202002	102191	791851	8152500	0.38	8152500	8044688	8066250	
202002	102191	109841	9067500	0.46	9063750	8070000	8268750	
202002	102191	388237	8501250	0.53	8452500	7888125	8001000	
202002	102191	858103	8475000	0.49	8475000	8281875	8320500	
202002	102191	389761	7335000	0.44	7117500	8537812	8253750	
202002	102191	572933	8332500	0.47	8332500	8320312	8322750	
202002	102191	393079	8876250	0.44	8876250	8098125	8253750	
202002	102191	890969	8460000	0.44	8362500	8226562	8253750	
202002	102191	503131	8741250	0.37	8670000	7759688	7941750	
202002	102191	575753	7758750	0.48	7751250	8505000	8354250	
202002	102191	993793	8328750	0.38	8295000	8009062	8066250	
202002	102191	167033	8388750	0.44	8291250	8244375	8253750	
202002	102191	999563	8887500	0.49	8805000	8199375	8320500	
202002	102191	234239	9483750	0.49	9483750	8029688	8320500	
202002	102191	292667	8358750	0.43	8358750	8203125	8234250	
202002	102191	943289	8115000	0.46	8111250	8308125	8268750	
202002	102191	501637	7856250	0.48	7837500	8483438	8354250	
202002	102191	151573	8088750	0.47	8088750	8381250	8322750	
202002	102191	726287	7818750	0.49	7818750	8445938	8320500	
202002	102191	550309	8876250	0.41	8857500	7940625	8124000	
202002	102191	169177	7931250	0.43	7796250	8343750	8234250	
202002	102191	851413	10121250	0.46	10035000	7827188	8268750	
202002	102191	449287	9416250	0.48	9416250	8088750	8354250	
202002	102191	409891	9003750	0.5	8696250	8096250	8216250	
202002	102191	771427	8613750	0.37	8613750	7773750	7941750	
202002	102191	566011	8062500	0.5	8047500	8258438	8216250	
202002	102191	733879	8670000	0.54	8670000	7853438	8016750	
202002	102191	742151	7796250	0.48	7447500	8580938	8354250	
202002	102191	410833	9401250	0.48	9401250	8092500	8354250	
202002	102191	235177	8842500	0.41	8793750	7956562	8124000	
202002	102191	141311	8276250	0.45	8178750	8209688	8203500	
202002	102191	276467	7436250	0.43	7436250	8433750	8234250	
202002	102191	230807	7923750	0.39	7698750	8161875	8069250	
202002	102191	525727	8838750	0.41	8662500	7989375	8124000	
