mes_aplicacion	semilla_undersampling	semilla_public	ganancia_public_inalcanzable	probabilidad_corte	ganancia_public	ganancia_private	ganancia_completa	
201905	102191	904147	12802500	0.47	12802500	10673438	11099250	
201905	102191	976091	10683750	0.41	10537500	11444062	11262750	
201905	102191	910661	11606250	0.31	11411250	11085000	11150250	
201905	102191	242197	11283750	0.39	10987500	11363438	11288250	
201905	102191	847519	10455000	0.27	10455000	10990312	10883250	
201905	102191	226099	12033750	0.35	12003750	10985625	11189250	
201905	102191	699493	12360000	0.4	12360000	11036250	11301000	
201905	102191	275339	11895000	0.42	11895000	11087812	11249250	
201905	102191	751423	11058750	0.35	11017500	11232188	11189250	
201905	102191	844523	12018750	0.35	12018750	10981875	11189250	
201905	102191	577531	10563750	0.41	10451250	11465625	11262750	
201905	102191	955139	11156250	0.4	11133750	11342812	11301000	
201905	102191	929311	11700000	0.37	11617500	10983750	11110500	
201905	102191	923441	11178750	0.42	11130000	11279062	11249250	
201905	102191	372847	13136250	0.44	13113750	10663125	11153250	
201905	102191	778187	12828750	0.41	12637500	10919062	11262750	
201905	102191	102913	11381250	0.45	11381250	11121562	11173500	
201905	102191	923179	12401250	0.42	12401250	10961250	11249250	
201905	102191	356929	12060000	0.43	12060000	10943438	11166750	
201905	102191	488617	13053750	0.43	12892500	10735312	11166750	
201905	102191	579869	9798750	0.47	9615000	11470312	11099250	
201905	102191	869299	11748750	0.29	11535000	10794375	10942500	
201905	102191	702469	12540000	0.44	12540000	10806562	11153250	
201905	102191	877367	11163750	0.28	10980000	10975312	10976250	
201905	102191	737281	12540000	0.39	12510000	10982812	11288250	
201905	102191	659473	12071250	0.31	12071250	10920000	11150250	
201905	102191	370399	12300000	0.45	12300000	10891875	11173500	
201905	102191	561529	10012500	0.34	9937500	11518125	11202000	
201905	102191	813199	10747500	0.42	10747500	11374688	11249250	
201905	102191	128969	11805000	0.4	11505000	11250000	11301000	
201905	102191	242377	11835000	0.38	11711250	11067188	11196000	
201905	102191	906823	10882500	0.33	10818750	11285625	11192250	
201905	102191	461603	11546250	0.4	11546250	11239688	11301000	
201905	102191	590963	10770000	0.4	10758750	11436562	11301000	
201905	102191	366217	11655000	0.32	11655000	10972500	11109000	
201905	102191	780631	11062500	0.44	10995000	11192812	11153250	
201905	102191	902179	11025000	0.35	11017500	11232188	11189250	
201905	102191	651029	11130000	0.36	11130000	11143125	11140500	
201905	102191	511691	12288750	0.45	12078750	10947188	11173500	
201905	102191	259387	11411250	0.3	11182500	11019375	11052000	
201905	102191	221071	11336250	0.42	11336250	11227500	11249250	
201905	102191	538301	11182500	0.43	11040000	11198438	11166750	
201905	102191	706913	11242500	0.49	11111250	10838438	10893000	
201905	102191	212999	12727500	0.41	12727500	10896562	11262750	
201905	102191	647321	11917500	0.41	11917500	11099062	11262750	
201905	102191	167623	11865000	0.31	11865000	10971562	11150250	
201905	102191	222163	10260000	0.51	10196250	10818750	10694250	
201905	102191	920687	11505000	0.41	11366250	11236875	11262750	
201905	102191	167213	12090000	0.33	12048750	10978125	11192250	
201905	102191	325673	11865000	0.46	11865000	10996875	11170500	
201905	102191	132233	11535000	0.49	11535000	10732500	10893000	
201905	102191	284227	9495000	0.41	9461250	11713125	11262750	
201905	102191	876181	12581250	0.46	12581250	10817812	11170500	
201905	102191	978233	11280000	0.33	11280000	11170312	11192250	
201905	102191	355457	11793750	0.42	11793750	11113125	11249250	
201905	102191	641513	11962500	0.39	11958750	11120625	11288250	
201905	102191	737969	12498750	0.45	12210000	10914375	11173500	
201905	102191	838139	11448750	0.38	11448750	11132812	11196000	
201905	102191	544759	11010000	0.33	10863750	11274375	11192250	
201905	102191	617791	10732500	0.47	10623750	11218125	11099250	
201905	102191	577169	12378750	0.47	12067500	10857188	11099250	
201905	102191	414241	12108750	0.28	12108750	10693125	10976250	
201905	102191	415823	12255000	0.36	12131250	10892812	11140500	
201905	102191	992917	11632500	0.42	11632500	11153438	11249250	
201905	102191	433861	11377500	0.3	11310000	10987500	11052000	
201905	102191	730421	12273750	0.41	12150000	11040938	11262750	
201905	102191	586237	10867500	0.4	10852500	11413125	11301000	
201905	102191	123701	11872500	0.46	11872500	10995000	11170500	
201905	102191	221077	11055000	0.49	10462500	11000625	10893000	
201905	102191	476167	11943750	0.32	11868750	10919062	11109000	
201905	102191	794569	11355000	0.41	11355000	11239688	11262750	
201905	102191	380909	10432500	0.42	10395000	11462812	11249250	
201905	102191	631039	10507500	0.47	10425000	11267812	11099250	
201905	102191	862541	11602500	0.39	11508750	11233125	11288250	
201905	102191	260551	11111250	0.43	11062500	11192812	11166750	
201905	102191	219983	10830000	0.46	10830000	11255625	11170500	
201905	102191	217121	10946250	0.33	10946250	11253750	11192250	
201905	102191	976957	13068750	0.46	13050000	10700625	11170500	
201905	102191	432559	11182500	0.36	11055000	11161875	11140500	
201905	102191	628861	10841250	0.39	10683750	11439375	11288250	
201905	102191	944297	11853750	0.4	11475000	11257500	11301000	
201905	102191	236627	12281250	0.31	12281250	10867500	11150250	
201905	102191	546613	12225000	0.45	11643750	11055938	11173500	
201905	102191	493123	12067500	0.46	12067500	10946250	11170500	
201905	102191	618841	11925000	0.47	11925000	10892812	11099250	
201905	102191	289031	12648750	0.39	12588750	10963125	11288250	
201905	102191	627091	10998750	0.45	10972500	11223750	11173500	
201905	102191	990719	11381250	0.35	11036250	11227500	11189250	
201905	102191	461921	10533750	0.34	10282500	11431875	11202000	
201905	102191	216803	11178750	0.42	11175000	11267812	11249250	
201905	102191	615101	11895000	0.47	11895000	10900312	11099250	
201905	102191	482117	11385000	0.28	11358750	10880625	10976250	
201905	102191	358243	11670000	0.44	11662500	11025938	11153250	
201905	102191	981983	10998750	0.47	10897500	11149688	11099250	
201905	102191	712883	12191250	0.42	12078750	11041875	11249250	
201905	102191	213173	12052500	0.44	11898750	10966875	11153250	
201905	102191	400249	10875000	0.31	10841250	11227500	11150250	
201905	102191	953501	11013750	0.32	10743750	11200312	11109000	
201905	102191	624203	11670000	0.41	11670000	11160938	11262750	
201905	102191	656273	10912500	0.31	10912500	11209688	11150250	
201908	102191	904147	13616250	0.48	13443750	12379688	12592500	
201908	102191	976091	13653750	0.39	13642500	12681562	12873750	
201908	102191	910661	12877500	0.45	12776250	12655312	12679500	
201908	102191	242197	13046250	0.37	13046250	12758438	12816000	
201908	102191	847519	13803750	0.29	13597500	12205312	12483750	
201908	102191	226099	12701250	0.42	12701250	12784688	12768000	
201908	102191	699493	13005000	0.54	12945000	11821875	12046500	
201908	102191	275339	13372500	0.49	13372500	12170625	12411000	
201908	102191	751423	15682500	0.42	15682500	12039375	12768000	
201908	102191	844523	14126250	0.42	14036250	12450938	12768000	
201908	102191	577531	13282500	0.43	13106250	12623438	12720000	
201908	102191	955139	13668750	0.39	13620000	12687188	12873750	
201908	102191	929311	13848750	0.29	13657500	12190312	12483750	
201908	102191	923441	13350000	0.43	13346250	12563438	12720000	
201908	102191	372847	13890000	0.41	13890000	12479062	12761250	
201908	102191	778187	12873750	0.29	12693750	12431250	12483750	
201908	102191	102913	12963750	0.4	12783750	12818438	12811500	
201908	102191	923179	14700000	0.34	14700000	12280312	12764250	
201908	102191	356929	12660000	0.35	12660000	12856875	12817500	
201908	102191	488617	13286250	0.31	13016250	12392812	12517500	
201908	102191	579869	12288750	0.4	12288750	12942188	12811500	
201908	102191	869299	13140000	0.4	13140000	12729375	12811500	
201908	102191	702469	13316250	0.44	13170000	12567188	12687750	
201908	102191	877367	13578750	0.36	13560000	12692812	12866250	
201908	102191	737281	11816250	0.26	11613750	12471562	12300000	
201908	102191	659473	13260000	0.36	13233750	12774375	12866250	
201908	102191	370399	13035000	0.41	13035000	12692812	12761250	
201908	102191	561529	12693750	0.37	12131250	12987188	12816000	
201908	102191	813199	12761250	0.39	12611250	12939375	12873750	
201908	102191	128969	13635000	0.37	13436250	12660938	12816000	
201908	102191	242377	12892500	0.41	12798750	12751875	12761250	
201908	102191	906823	13901250	0.39	13901250	12616875	12873750	
201908	102191	461603	12952500	0.35	12952500	12783750	12817500	
201908	102191	590963	12033750	0.4	11962500	13023750	12811500	
201908	102191	366217	12315000	0.36	12090000	13060312	12866250	
201908	102191	780631	13485000	0.41	13485000	12580312	12761250	
201908	102191	902179	11422500	0.36	11422500	13227188	12866250	
201908	102191	651029	12476250	0.37	12476250	12900938	12816000	
201908	102191	511691	12082500	0.33	12030000	12872812	12704250	
201908	102191	259387	12581250	0.4	12480000	12894375	12811500	
201908	102191	221071	12491250	0.33	12491250	12757500	12704250	
201908	102191	538301	13635000	0.39	13635000	12683438	12873750	
201908	102191	706913	12007500	0.47	12007500	12741562	12594750	
201908	102191	212999	14152500	0.37	14043750	12509062	12816000	
201908	102191	647321	11786250	0.37	11786250	13073438	12816000	
201908	102191	167623	14321250	0.36	14321250	12502500	12866250	
201908	102191	222163	12045000	0.49	11925000	12532500	12411000	
201908	102191	920687	14002500	0.38	14002500	12532500	12826500	
201908	102191	167213	12798750	0.35	12607500	12870000	12817500	
201908	102191	325673	12093750	0.34	11838750	12995625	12764250	
201908	102191	132233	13526250	0.44	13526250	12478125	12687750	
201908	102191	284227	11377500	0.52	11268750	12411562	12183000	
201908	102191	876181	13950000	0.37	13950000	12532500	12816000	
201908	102191	978233	13616250	0.36	13616250	12678750	12866250	
201908	102191	355457	13132500	0.42	13061250	12694688	12768000	
201908	102191	641513	13721250	0.37	13635000	12611250	12816000	
201908	102191	737969	13327500	0.35	13222500	12716250	12817500	
201908	102191	838139	13023750	0.47	12783750	12547500	12594750	
201908	102191	544759	13031250	0.34	12971250	12712500	12764250	
201908	102191	617791	14010000	0.36	14010000	12580312	12866250	
201908	102191	577169	13526250	0.43	13466250	12533438	12720000	
201908	102191	414241	13976250	0.39	13860000	12627188	12873750	
201908	102191	415823	12146250	0.43	11992500	12901875	12720000	
201908	102191	992917	12007500	0.39	11996250	13093125	12873750	
201908	102191	433861	13871250	0.36	13871250	12615000	12866250	
201908	102191	730421	13672500	0.38	13638750	12623438	12826500	
201908	102191	586237	14328750	0.44	14328750	12277500	12687750	
201908	102191	123701	12393750	0.46	12311250	12748125	12660750	
201908	102191	221077	11280000	0.41	11242500	13140938	12761250	
201908	102191	476167	13953750	0.39	13893750	12618750	12873750	
201908	102191	794569	13710000	0.41	13575000	12557812	12761250	
