201905	102191	904147	12656250	0.45	12637500	11075625	11388000	
201905	102191	976091	10811250	0.41	10687500	11389688	11249250	
201905	102191	910661	11970000	0.32	11970000	11107500	11280000	
201905	102191	242197	11531250	0.46	11085000	11231250	11202000	
201905	102191	847519	10518750	0.29	10488750	11230312	11082000	
201905	102191	226099	12037500	0.45	12026250	11228438	11388000	
201905	102191	699493	12363750	0.4	12236250	10967812	11221500	
201905	102191	275339	11906250	0.38	11820000	11114062	11255250	
201905	102191	751423	11051250	0.34	10942500	11365312	11280750	
201905	102191	844523	12037500	0.37	12037500	11079375	11271000	
201905	102191	577531	10702500	0.52	10346250	10669688	10605000	
201905	102191	955139	11265000	0.31	11265000	11231250	11238000	
201905	102191	929311	11910000	0.44	11910000	11261250	11391000	
201905	102191	923441	11362500	0.43	11343750	11310938	11317500	
201905	102191	372847	13256250	0.46	13207500	10700625	11202000	
201905	102191	778187	12678750	0.37	12678750	10919062	11271000	
201905	102191	102913	11242500	0.45	11242500	11424375	11388000	
201905	102191	923179	12690000	0.45	12690000	11062500	11388000	
201905	102191	356929	12078750	0.38	12078750	11049375	11255250	
201905	102191	488617	13346250	0.44	13346250	10902188	11391000	
201905	102191	579869	9866250	0.44	9712500	11810625	11391000	
201905	102191	869299	11287500	0.31	11287500	11225625	11238000	
201905	102191	702469	12476250	0.46	12476250	10883438	11202000	
201905	102191	877367	11040000	0.5	10957500	10834688	10859250	
201905	102191	737281	12540000	0.44	12461250	11123438	11391000	
201905	102191	659473	12183750	0.35	11988750	11171250	11334750	
201905	102191	370399	12738750	0.42	12483750	10905938	11221500	
201905	102191	561529	10072500	0.34	9990000	11603438	11280750	
201905	102191	813199	10845000	0.35	10743750	11482500	11334750	
201905	102191	128969	11846250	0.34	11846250	11139375	11280750	
201905	102191	242377	12052500	0.31	12052500	11034375	11238000	
201905	102191	906823	10601250	0.32	10601250	11449688	11280000	
201905	102191	461603	11576250	0.4	11565000	11135625	11221500	
201905	102191	590963	10867500	0.44	10807500	11536875	11391000	
201905	102191	366217	11910000	0.34	11910000	11123438	11280750	
201905	102191	780631	11636250	0.44	11313750	11410312	11391000	
201905	102191	902179	11126250	0.44	10586250	11592188	11391000	
201905	102191	651029	11201250	0.35	11156250	11379375	11334750	
201905	102191	511691	12120000	0.46	11910000	11025000	11202000	
201905	102191	259387	11572500	0.36	11392500	11284688	11306250	
201905	102191	221071	11576250	0.4	11407500	11175000	11221500	
201905	102191	538301	11332500	0.35	11175000	11374688	11334750	
201905	102191	706913	11602500	0.35	11550000	11280938	11334750	
201905	102191	212999	13173750	0.45	13173750	10941562	11388000	
201905	102191	647321	11917500	0.45	11748750	11297812	11388000	
201905	102191	167623	12161250	0.35	11778750	11223750	11334750	
201905	102191	222163	10368750	0.51	10170000	10796250	10671000	
201905	102191	920687	11561250	0.45	11561250	11344688	11388000	
201905	102191	167213	12502500	0.32	12502500	10974375	11280000	
201905	102191	325673	11752500	0.36	11610000	11230312	11306250	
201905	102191	132233	11958750	0.36	11760000	11192812	11306250	
201905	102191	284227	9521250	0.41	9521250	11681250	11249250	
201905	102191	876181	12367500	0.44	12243750	11177812	11391000	
201905	102191	978233	11452500	0.36	11366250	11291250	11306250	
201905	102191	355457	11996250	0.32	11707500	11173125	11280000	
201905	102191	641513	12161250	0.33	12022500	11085938	11273250	
201905	102191	737969	12491250	0.5	12491250	10451250	10859250	
201905	102191	838139	11625000	0.29	11456250	10988438	11082000	
201905	102191	544759	10642500	0.33	10642500	11430938	11273250	
201905	102191	617791	10788750	0.44	10758750	11549062	11391000	
201905	102191	577169	12318750	0.43	12157500	11107500	11317500	
201905	102191	414241	12450000	0.34	12450000	10988438	11280750	
201905	102191	415823	12228750	0.39	12228750	10915312	11178000	
201905	102191	992917	12011250	0.33	11775000	11147812	11273250	
201905	102191	433861	11733750	0.35	11666250	11251875	11334750	
201905	102191	730421	12135000	0.45	12135000	11201250	11388000	
201905	102191	586237	11062500	0.5	10987500	10827188	10859250	
201905	102191	123701	11887500	0.44	11707500	11311875	11391000	
201905	102191	221077	11377500	0.45	11017500	11480625	11388000	
201905	102191	476167	11733750	0.34	11598750	11201250	11280750	
201905	102191	794569	11595000	0.43	11595000	11248125	11317500	
201905	102191	380909	10822500	0.37	10762500	11398125	11271000	
201905	102191	631039	10743750	0.45	10635000	11576250	11388000	
201905	102191	862541	11790000	0.33	11752500	11153438	11273250	
201905	102191	260551	11336250	0.33	11291250	11268750	11273250	
201905	102191	219983	10743750	0.51	10631250	10680938	10671000	
201905	102191	217121	11313750	0.31	11313750	11219062	11238000	
201905	102191	976957	13076250	0.45	13072500	10966875	11388000	
201905	102191	432559	11403750	0.32	11336250	11265938	11280000	
201905	102191	628861	10605000	0.45	10605000	11583750	11388000	
201905	102191	944297	11715000	0.36	11366250	11291250	11306250	
201905	102191	236627	12348750	0.43	12348750	11059688	11317500	
201905	102191	546613	12180000	0.45	12180000	11190000	11388000	
201905	102191	493123	12135000	0.47	11917500	10870312	11079750	
201905	102191	618841	12176250	0.36	12086250	11111250	11306250	
201905	102191	289031	12945000	0.44	12945000	11002500	11391000	
201905	102191	627091	11250000	0.32	10616250	11445938	11280000	
201905	102191	990719	11370000	0.36	11085000	11361562	11306250	
201905	102191	461921	10526250	0.39	10365000	11381250	11178000	
201905	102191	216803	11441250	0.45	11441250	11374688	11388000	
201905	102191	615101	11730000	0.45	11730000	11302500	11388000	
201905	102191	482117	11580000	0.44	11580000	11343750	11391000	
201905	102191	358243	11932500	0.45	11932500	11251875	11388000	
