mes_aplicacion	semilla_undersampling	semilla_public	ganancia_public_inalcanzable	probabilidad_corte	ganancia_public	ganancia_private	ganancia_completa	
202003	102191	219983	3933750	0.52	3918750	4106250	4068750	
202003	102191	217121	4998750	0.63	4976250	3640312	3907500	
202003	102191	976957	4398750	0.5	4391250	3890625	3990750	
202003	102191	432559	3990000	0.44	3817500	3858750	3850500	
202003	102191	628861	4380000	0.57	4320000	3976875	4045500	
202003	102191	944297	5212500	0.56	5212500	3773438	4061250	
202003	102191	236627	3487500	0.65	3416250	4041562	3916500	
202003	102191	546613	4477500	0.6	4226250	3974062	4024500	
202003	102191	493123	4125000	0.5	4087500	3966562	3990750	
202003	102191	618841	3810000	0.51	3720000	4095938	4020750	
202003	102191	289031	3956250	0.52	3956250	4096875	4068750	
202003	102191	627091	5325000	0.7	5325000	3292500	3699000	
202003	102191	990719	3990000	0.52	3926250	4104375	4068750	
202003	102191	461921	4113750	0.64	4042500	3861562	3897750	
202003	102191	216803	5017500	0.49	4841250	3725625	3948750	
202003	102191	615101	5497500	0.5	5490000	3615938	3990750	
202003	102191	482117	3528750	0.53	3528750	4161562	4035000	
202003	102191	358243	4106250	0.52	4106250	4059375	4068750	
202003	102191	981983	4346250	0.52	4346250	3999375	4068750	
202003	102191	712883	5193750	0.53	5028750	3786562	4035000	
202003	102191	213173	3472500	0.59	3326250	4239375	4056750	
202003	102191	400249	3213750	0.65	3213750	4092188	3916500	
202003	102191	953501	5107500	0.65	5073750	3627188	3916500	
202003	102191	624203	3817500	0.54	3765000	4063125	4003500	
202003	102191	656273	4113750	0.69	4113750	3726562	3804000	
202002	102191	904147	8358750	0.37	8358750	7676250	7812750	
202002	102191	976091	7916250	0.48	7518750	8034375	7931250	
202002	102191	910661	7383750	0.55	7383750	8215312	8049000	
202002	102191	242197	8865000	0.57	8835000	7644375	7882500	
202002	102191	847519	8463750	0.37	8463750	7650000	7812750	
202002	102191	226099	8580000	0.54	8580000	7955625	8080500	
202002	102191	699493	8658750	0.46	8553750	7686562	7860000	
202002	102191	275339	8385000	0.54	8160000	8060625	8080500	
202002	102191	751423	8081250	0.49	8081250	8023125	8034750	
202002	102191	844523	8940000	0.5	8940000	7870312	8084250	
202002	102191	577531	7773750	0.43	7773750	8055000	7998750	
202002	102191	955139	8647500	0.44	8542500	7873125	8007000	
202002	102191	929311	9266250	0.4	9266250	7551562	7894500	
202002	102191	923441	8711250	0.43	8666250	7831875	7998750	
202002	102191	372847	7185000	0.53	7113750	8325000	8082750	
202002	102191	778187	8055000	0.49	8055000	8029688	8034750	
202002	102191	102913	9555000	0.55	9476250	7692188	8049000	
202002	102191	923179	7800000	0.61	7747500	7198125	7308000	
202002	102191	356929	8572500	0.56	8572500	7925625	8055000	
202002	102191	488617	7717500	0.42	7612500	8033438	7949250	
202002	102191	579869	8846250	0.4	8846250	7656562	7894500	
202002	102191	869299	7140000	0.39	7136250	8115000	7919250	
202002	102191	702469	7878750	0.43	7803750	8047500	7998750	
202002	102191	877367	9311250	0.53	9311250	7775625	8082750	
202002	102191	737281	9723750	0.55	9723750	7630312	8049000	
202002	102191	659473	8726250	0.44	8726250	7827188	8007000	
202002	102191	370399	8621250	0.55	8621250	7905938	8049000	
202002	102191	561529	8246250	0.5	8122500	8074688	8084250	
202002	102191	813199	8797500	0.53	8685000	7932188	8082750	
202002	102191	128969	8201250	0.43	8088750	7976250	7998750	
202002	102191	242377	8456250	0.56	8456250	7954688	8055000	
202002	102191	906823	8718750	0.52	8538750	7836562	7977000	
202002	102191	461603	7338750	0.51	7260000	8172188	7989750	
202002	102191	590963	8010000	0.49	7916250	8064375	8034750	
202002	102191	366217	8591250	0.34	8396250	7406250	7604250	
202002	102191	780631	8913750	0.47	8745000	7741875	7942500	
202002	102191	902179	8025000	0.55	7908750	8084062	8049000	
202002	102191	651029	9585000	0.37	9431250	7408125	7812750	
202002	102191	511691	7751250	0.53	7751250	8165625	8082750	
202002	102191	259387	7867500	0.42	7867500	7969688	7949250	
202002	102191	221071	8381250	0.38	8220000	7795312	7880250	
202002	102191	538301	9296250	0.38	9296250	7526250	7880250	
202002	102191	706913	6960000	0.54	6907500	8373750	8080500	
202002	102191	212999	8748750	0.55	8685000	7890000	8049000	
202002	102191	647321	7781250	0.44	7781250	8063438	8007000	
202002	102191	167623	7470000	0.42	7245000	8125312	7949250	
202002	102191	222163	8658750	0.49	8542500	7907812	8034750	
202002	102191	920687	9446250	0.5	9446250	7743750	8084250	
202002	102191	167213	7728750	0.54	7567500	8208750	8080500	
202002	102191	325673	8182500	0.4	8156250	7829062	7894500	
202002	102191	132233	8936250	0.5	8805000	7904062	8084250	
202002	102191	284227	8550000	0.49	8441250	7933125	8034750	
202002	102191	876181	9221250	0.49	9108750	7766250	8034750	
202002	102191	978233	8193750	0.39	8186250	7852500	7919250	
202002	102191	355457	8212500	0.52	7916250	7992188	7977000	
