mes_aplicacion	semilla_undersampling	semilla_public	ganancia_public_inalcanzable	probabilidad_corte	ganancia_public	ganancia_private	ganancia_completa	
201905	102191	904147	12502500	0.16	12255000	10934062	11198250	
201905	102191	976091	11133750	0.21	11133750	10652812	10749000	
201905	102191	910661	11103750	0.16	10897500	11273438	11198250	
201905	102191	242197	11268750	0.15	11040000	10994062	11003250	
201905	102191	847519	10425000	0.18	9570000	11221875	10891500	
201905	102191	226099	12112500	0.19	11951250	10591875	10863750	
201905	102191	699493	11846250	0.13	11846250	10890000	11081250	
201905	102191	275339	11583750	0.19	11392500	10731562	10863750	
201905	102191	751423	10837500	0.16	10316250	11418750	11198250	
201905	102191	844523	11636250	0.1	11171250	10748438	10833000	
201905	102191	577531	10117500	0.22	9161250	10906875	10557750	
201905	102191	955139	11040000	0.27	10575000	9716250	9888000	
201905	102191	929311	11726250	0.23	11115000	10304062	10466250	
201905	102191	923441	11475000	0.21	11223750	10630312	10749000	
201905	102191	372847	13005000	0.26	11977500	9374062	9894750	
201905	102191	778187	12483750	0.19	12296250	10505625	10863750	
201905	102191	102913	10968750	0.17	10968750	11137500	11103750	
201905	102191	923179	12592500	0.29	10440000	9094688	9363750	
201905	102191	356929	11640000	0.19	11486250	10708125	10863750	
201905	102191	488617	13305000	0.2	13305000	10088438	10731750	
201905	102191	579869	10346250	0.15	10203750	11203125	11003250	
201905	102191	869299	11475000	0.14	11475000	11013750	11106000	
201905	102191	702469	11748750	0.2	11321250	10584375	10731750	
201905	102191	877367	10965000	0.21	10458750	10821562	10749000	
201905	102191	737281	12311250	0.13	11940000	10866562	11081250	
201905	102191	659473	11388750	0.16	11186250	11201250	11198250	
201905	102191	370399	12067500	0.2	12018750	10410000	10731750	
201905	102191	561529	9738750	0.23	9468750	10715625	10466250	
201905	102191	813199	10312500	0.18	10106250	11087812	10891500	
201905	102191	128969	11148750	0.09	10920000	10638750	10695000	
201905	102191	242377	11703750	0.18	11130000	10831875	10891500	
201905	102191	906823	10106250	0.16	10106250	11471250	11198250	
201905	102191	461603	11775000	0.16	11493750	11124375	11198250	
201905	102191	590963	10807500	0.16	10312500	11419688	11198250	
201905	102191	366217	11895000	0.17	11546250	10993125	11103750	
201905	102191	780631	11141250	0.3	9270000	9181875	9199500	
201905	102191	902179	10796250	0.15	10796250	11055000	11003250	
201905	102191	651029	11047500	0.17	10972500	11136562	11103750	
201905	102191	511691	11808750	0.24	11520000	9835312	10172250	
201905	102191	259387	11565000	0.16	11051250	11235000	11198250	
