mes_aplicacion	semilla_undersampling	semilla_public	ganancia_public_inalcanzable	probabilidad_corte	ganancia_public	ganancia_private	ganancia_completa	
202003	102191	168253	4597500	0.51	4597500	4054688	4163250	
202003	102191	597353	4507500	0.55	4507500	3897188	4019250	
202003	102191	206917	3982500	0.55	3915000	4045312	4019250	
202003	102191	875647	4113750	0.68	4020000	3328125	3466500	
202003	102191	975463	5017500	0.53	5017500	3837188	4073250	
202003	102191	487727	4316250	0.5	4211250	4147500	4160250	
202003	102191	553873	4027500	0.38	4027500	3582188	3671250	
202003	102191	600407	4856250	0.52	4785000	3916875	4090500	
202003	102191	597271	4800000	0.75	4736250	2823750	3206250	
202002	102191	191453	9168750	0.52	9168750	7335938	7702500	
202002	102191	984323	8906250	0.46	8745000	7279688	7572750	
202002	102191	372277	7668750	0.52	7668750	7710938	7702500	
202002	102191	221987	7875000	0.44	7788750	7369688	7453500	
202002	102191	711143	7530000	0.47	7372500	7698750	7633500	
202002	102191	457829	8475000	0.48	8475000	7462500	7665000	
202002	102191	884491	7571250	0.46	7485000	7594688	7572750	
202002	102191	627733	7368750	0.38	7241250	6966562	7021500	
202002	102191	671249	7458750	0.47	7458750	7677188	7633500	
202002	102191	683149	7413750	0.44	7297500	7492500	7453500	
202002	102191	903443	6975000	0.47	6821250	7836562	7633500	
202002	102191	204371	8895000	0.67	8831250	6406875	6891750	
202002	102191	198593	8126250	0.54	8126250	7501875	7626750	
202002	102191	243527	7762500	0.55	7762500	7445625	7509000	
202002	102191	663983	6888750	0.55	6798750	7686562	7509000	
202002	102191	840067	7346250	0.6	7226250	7163438	7176000	
202002	102191	478391	7601250	0.46	7312500	7637812	7572750	
202002	102191	387463	8347500	0.5	8193750	7460625	7607250	
202002	102191	790481	7830000	0.47	7830000	7584375	7633500	
202002	102191	660811	7110000	0.57	7110000	7530938	7446750	
202002	102191	459341	8827500	0.49	8801250	7344375	7635750	
202002	102191	391961	6348750	0.47	6348750	7954688	7633500	
202002	102191	680441	9405000	0.5	9202500	7208438	7607250	
202002	102191	980071	7695000	0.55	7635000	7477500	7509000	
202002	102191	640267	7556250	0.47	7346250	7705312	7633500	
202002	102191	573509	7357500	0.44	7357500	7477500	7453500	
202002	102191	991751	7552500	0.39	7485000	6982500	7083000	
202002	102191	570667	7713750	0.52	7605000	7726875	7702500	
202002	102191	123307	7477500	0.48	7477500	7711875	7665000	
202002	102191	718321	9393750	0.5	9131250	7226250	7607250	
