mes_aplicacion	semilla_undersampling	semilla_public	ganancia_public_inalcanzable	probabilidad_corte	ganancia_public	ganancia_private	ganancia_completa	
202003	102191	482117	3622500	0.16	3390000	4277812	4100250	
202003	102191	358243	4327500	0.19	4230000	4168125	4180500	
202003	102191	981983	4260000	0.34	3933750	3588750	3657750	
202003	102191	712883	5651250	0.17	5340000	3846562	4145250	
202003	102191	213173	4166250	0.43	2797500	3528750	3382500	
202003	102191	400249	3577500	0.43	2962500	3487500	3382500	
202003	102191	953501	5148750	0.37	5070000	3159375	3541500	
202003	102191	624203	3986250	0.23	3881250	4037812	4006500	
202003	102191	656273	4177500	0.28	3986250	3810938	3846000	
202002	102191	904147	9240000	0.15	9131250	8131875	8331750	
202002	102191	976091	8617500	0.36	7162500	6941250	6985500	
202002	102191	910661	7616250	0.15	7466250	8548125	8331750	
202002	102191	242197	9108750	0.2	9108750	7870312	8118000	
202002	102191	847519	8827500	0.21	7683750	8198438	8095500	
202002	102191	226099	8516250	0.23	8096250	7926562	7960500	
202002	102191	699493	8658750	0.21	8310000	8041875	8095500	
202002	102191	275339	9202500	0.37	8021250	6660000	6932250	
202002	102191	751423	8433750	0.28	7837500	7391250	7480500	
202002	102191	844523	8793750	0.18	8711250	8184375	8289750	
202002	102191	577531	8025000	0.11	7886250	8040938	8010000	
202002	102191	955139	8827500	0.16	8718750	8190000	8295750	
202002	102191	929311	9048750	0.15	9007500	8162812	8331750	
202002	102191	923441	8880000	0.14	8553750	8194688	8266500	
202002	102191	372847	8148750	0.18	7875000	8393438	8289750	
202002	102191	778187	8006250	0.19	7710000	8301562	8183250	
202002	102191	102913	9345000	0.22	8932500	7867500	8080500	
202002	102191	923179	8497500	0.22	8313750	8022188	8080500	
202002	102191	356929	8583750	0.22	8422500	7995000	8080500	
202002	102191	488617	8276250	0.2	7432500	8289375	8118000	
202002	102191	579869	9701250	0.13	9525000	7962188	8274750	
202002	102191	869299	7173750	0.14	7038750	8573438	8266500	
202002	102191	702469	8235000	0.23	7687500	8028750	7960500	
202002	102191	877367	9127500	0.19	9127500	7947188	8183250	
202002	102191	737281	9787500	0.22	9303750	7774688	8080500	
202002	102191	659473	8883750	0.17	8812500	8186250	8311500	
202002	102191	370399	8688750	0.2	8677500	7978125	8118000	
202002	102191	561529	8583750	0.18	8392500	8264062	8289750	
202002	102191	813199	8902500	0.2	8752500	7959375	8118000	
202002	102191	128969	8703750	0.21	8171250	8076562	8095500	
202002	102191	242377	8355000	0.13	8332500	8260312	8274750	
202002	102191	906823	8715000	0.18	8505000	8235938	8289750	
202002	102191	461603	8013750	0.13	7946250	8356875	8274750	
202002	102191	590963	7875000	0.13	7811250	8390625	8274750	
202002	102191	366217	8703750	0.24	7732500	7894688	7862250	
202002	102191	780631	9900000	0.18	9341250	8026875	8289750	
202002	102191	902179	8257500	0.2	8238750	8087812	8118000	
202002	102191	651029	9986250	0.15	9933750	7931250	8331750	
202002	102191	511691	7773750	0.18	7376250	8518125	8289750	
202002	102191	259387	7631250	0.18	7578750	8467500	8289750	
202002	102191	221071	8662500	0.15	8662500	8249062	8331750	
202002	102191	538301	9851250	0.12	9727500	7920000	8281500	
202002	102191	706913	8220000	0.14	7893750	8359688	8266500	
202002	102191	212999	8910000	0.12	8910000	8124375	8281500	
202002	102191	647321	8182500	0.24	7376250	7983750	7862250	
202002	102191	167623	8355000	0.14	7927500	8351250	8266500	
202002	102191	222163	8448750	0.2	8295000	8073750	8118000	
202002	102191	920687	9757500	0.23	9573750	7557188	7960500	
202002	102191	167213	7980000	0.14	7920000	8353125	8266500	
202002	102191	325673	9093750	0.27	8298750	7366875	7553250	
202002	102191	132233	9093750	0.21	8021250	8114062	8095500	
202002	102191	284227	7923750	0.17	7923750	8408438	8311500	
202002	102191	876181	8970000	0.14	8940000	8098125	8266500	
202002	102191	978233	8681250	0.12	8610000	8199375	8281500	
202002	102191	355457	8538750	0.21	8291250	8046562	8095500	
202002	102191	641513	9300000	0.26	8670000	7295625	7570500	
202002	102191	737969	7188750	0.18	7188750	8565000	8289750	
202002	102191	838139	8730000	0.19	8291250	8156250	8183250	
202002	102191	544759	6862500	0.17	6697500	8715000	8311500	
202002	102191	617791	8966250	0.24	7830000	7870312	7862250	
202002	102191	577169	8310000	0.21	7121250	8339062	8095500	
202002	102191	414241	8433750	0.23	7503750	8074688	7960500	
202002	102191	415823	8853750	0.16	8797500	8170312	8295750	
202002	102191	992917	8283750	0.21	7650000	8206875	8095500	
202002	102191	433861	8471250	0.12	8201250	8301562	8281500	
202002	102191	730421	8265000	0.2	7991250	8149688	8118000	
202002	102191	586237	8812500	0.27	8212500	7388438	7553250	
202002	102191	123701	8418750	0.24	8400000	7727812	7862250	
202002	102191	221077	8951250	0.16	8951250	8131875	8295750	
202002	102191	476167	9255000	0.16	9236250	8060625	8295750	
202002	102191	794569	9768750	0.18	9768750	7920000	8289750	
202002	102191	380909	8456250	0.19	8456250	8115000	8183250	
202002	102191	631039	9202500	0.11	8763750	7821562	8010000	
202002	102191	862541	8302500	0.26	7650000	7550625	7570500	
202002	102191	260551	9367500	0.21	9176250	7825312	8095500	
202002	102191	219983	8426250	0.24	8175000	7784062	7862250	
202002	102191	217121	8703750	0.19	8373750	8135625	8183250	
202002	102191	976957	9048750	0.19	8778750	8034375	8183250	
202002	102191	432559	7346250	0.27	6945000	7705312	7553250	
202002	102191	628861	8081250	0.26	8081250	7442812	7570500	
202002	102191	944297	8996250	0.22	8745000	7914375	8080500	
202002	102191	236627	8943750	0.24	8943750	7591875	7862250	
202002	102191	546613	8160000	0.2	7316250	8318438	8118000	
202002	102191	493123	7653750	0.3	7387500	7267500	7291500	
202002	102191	618841	9240000	0.16	9240000	8059688	8295750	
202002	102191	289031	9847500	0.26	9108750	7185938	7570500	
202002	102191	627091	7972500	0.21	7593750	8220938	8095500	
202002	102191	990719	8973750	0.15	8726250	8233125	8331750	
202002	102191	461921	8703750	0.13	8703750	8167500	8274750	
202002	102191	216803	7792500	0.14	7706250	8406562	8266500	
202002	102191	615101	8823750	0.12	8583750	8205938	8281500	
202002	102191	482117	8527500	0.2	8231250	8089688	8118000	
202002	102191	358243	7916250	0.17	7762500	8448750	8311500	
202002	102191	981983	8520000	0.2	8332500	8064375	8118000	
202002	102191	712883	8883750	0.15	8850000	8202188	8331750	
202002	102191	213173	9390000	0.19	9243750	7918125	8183250	
202002	102191	400249	9153750	0.22	9037500	7841250	8080500	
202002	102191	953501	8362500	0.31	6727500	7511250	7354500	
202002	102191	624203	9251250	0.15	9112500	8136562	8331750	
202002	102191	656273	7871250	0.11	7728750	8080312	8010000	
202001	102191	904147	11782500	0.14	11182500	12181875	11982000	
202001	102191	976091	13211250	0.24	12611250	10817812	11176500	
202001	102191	910661	12506250	0.16	12506250	11969062	12076500	
202001	102191	242197	12307500	0.18	12048750	11849062	11889000	
